"","activity_description","subject","act.mean"
"1","LAYING",1,-0.681581978523055
"2","LAYING",2,-0.743126753233842
"3","LAYING",3,-0.734347688677236
"4","LAYING",4,-0.728668034663377
"5","LAYING",5,-0.739085358855865
"6","LAYING",6,-0.714481502407656
"7","LAYING",7,-0.723857064735047
"8","LAYING",8,-0.722406520353446
"9","LAYING",9,-0.726146510489097
"10","LAYING",10,-0.751454042087244
"11","LAYING",11,-0.739250481303299
"12","LAYING",12,-0.72760644728624
"13","LAYING",13,-0.731168410513377
"14","LAYING",14,-0.706780359580511
"15","LAYING",15,-0.732694054370465
"16","LAYING",16,-0.743287358888657
"17","LAYING",17,-0.731324690617382
"18","LAYING",18,-0.746133039821382
"19","LAYING",19,-0.742143249540819
"20","LAYING",20,-0.737847526254904
"21","LAYING",21,-0.729316795500066
"22","LAYING",22,-0.718920180798411
"23","LAYING",23,-0.738453366680006
"24","LAYING",24,-0.738162801094621
"25","LAYING",25,-0.6550466559966
"26","LAYING",26,-0.744683873718817
"27","LAYING",27,-0.747039773104429
"28","LAYING",28,-0.749711337306598
"29","LAYING",29,-0.747047283845479
"30","LAYING",30,-0.73371945664569
"31","SITTING",1,-0.725010256710861
"32","SITTING",2,-0.737361985616243
"33","SITTING",3,-0.707845449974583
"34","SITTING",4,-0.717843420704141
"35","SITTING",5,-0.71816250875378
"36","SITTING",6,-0.7166252231237
"37","SITTING",7,-0.712354376735631
"38","SITTING",8,-0.72745694109493
"39","SITTING",9,-0.704523755500333
"40","SITTING",10,-0.73712845579557
"41","SITTING",11,-0.730213416461106
"42","SITTING",12,-0.727919507003818
"43","SITTING",13,-0.735239423441511
"44","SITTING",14,-0.730278809106672
"45","SITTING",15,-0.733838697315558
"46","SITTING",16,-0.734763414612203
"47","SITTING",17,-0.747004627057666
"48","SITTING",18,-0.743850843467203
"49","SITTING",19,-0.728175891288928
"50","SITTING",20,-0.726102407642704
"51","SITTING",21,-0.743125990670937
"52","SITTING",22,-0.720164924412542
"53","SITTING",23,-0.726113491116866
"54","SITTING",24,-0.737144249115584
"55","SITTING",25,-0.737614646951336
"56","SITTING",26,-0.732209186814351
"57","SITTING",27,-0.738607565821911
"58","SITTING",28,-0.731041115599865
"59","SITTING",29,-0.739022156685121
"60","SITTING",30,-0.732058477455571
"61","STANDING",1,-0.751886863913404
"62","STANDING",2,-0.739970261016944
"63","STANDING",3,-0.712068206745217
"64","STANDING",4,-0.705320467661402
"65","STANDING",5,-0.698248943096751
"66","STANDING",6,-0.723169679977658
"67","STANDING",7,-0.725824852727622
"68","STANDING",8,-0.735324128855415
"69","STANDING",9,-0.719415113824515
"70","STANDING",10,-0.721542732014904
"71","STANDING",11,-0.747503181881309
"72","STANDING",12,-0.719351505561252
"73","STANDING",13,-0.742391626905495
"74","STANDING",14,-0.733750919831609
"75","STANDING",15,-0.733951795404
"76","STANDING",16,-0.744597444550344
"77","STANDING",17,-0.753476669240357
"78","STANDING",18,-0.744424330919073
"79","STANDING",19,-0.73554803643265
"80","STANDING",20,-0.703585407231564
"81","STANDING",21,-0.740332493442983
"82","STANDING",22,-0.726785296080127
"83","STANDING",23,-0.735074230891955
"84","STANDING",24,-0.734420049761198
"85","STANDING",25,-0.739256665905592
"86","STANDING",26,-0.740410224586124
"87","STANDING",27,-0.743828559458429
"88","STANDING",28,-0.712417065277087
"89","STANDING",29,-0.746979641390065
"90","STANDING",30,-0.714291901922109
"91","WALKING",1,-0.193204572492262
"92","WALKING",2,-0.32544820638322
"93","WALKING",3,-0.317947801074047
"94","WALKING",4,-0.392128132692634
"95","WALKING",5,-0.290846535887125
"96","WALKING",6,-0.231135633132547
"97","WALKING",7,-0.184567020446338
"98","WALKING",8,-0.16056841343373
"99","WALKING",9,-0.286806225658878
"100","WALKING",10,-0.207316119201447
"101","WALKING",11,-0.379016958409591
"102","WALKING",12,-0.256034499452433
"103","WALKING",13,-0.210988794167055
"104","WALKING",14,-0.288349500486322
"105","WALKING",15,-0.306114313281622
"106","WALKING",16,-0.383138718688577
"107","WALKING",17,-0.309280113929322
"108","WALKING",18,-0.394478845416299
"109","WALKING",19,-0.0739875703910806
"110","WALKING",20,-0.0954032717082775
"111","WALKING",21,-0.239612750488894
"112","WALKING",22,-0.161843378710114
"113","WALKING",23,-0.0969339947223061
"114","WALKING",24,-0.356957437224817
"115","WALKING",25,-0.42015627084922
"116","WALKING",26,-0.318740418835688
"117","WALKING",27,-0.315300610673124
"118","WALKING",28,-0.313871992811888
"119","WALKING",29,-0.256846692509308
"120","WALKING",30,-0.267020565167016
"121","WALKING_DOWNSTAIRS",1,-0.149358035365099
"122","WALKING_DOWNSTAIRS",2,-0.106411521321941
"123","WALKING_DOWNSTAIRS",3,-0.232708366871836
"124","WALKING_DOWNSTAIRS",4,-0.281840698460603
"125","WALKING_DOWNSTAIRS",5,-0.149721994636294
"126","WALKING_DOWNSTAIRS",6,-0.000804104618582071
"127","WALKING_DOWNSTAIRS",7,-0.164658253921528
"128","WALKING_DOWNSTAIRS",8,-0.00103612319688198
"129","WALKING_DOWNSTAIRS",9,-0.162548480947928
"130","WALKING_DOWNSTAIRS",10,-0.108732322835411
"131","WALKING_DOWNSTAIRS",11,-0.220718087092131
"132","WALKING_DOWNSTAIRS",12,-0.179277771565335
"133","WALKING_DOWNSTAIRS",13,-0.170802030677804
"134","WALKING_DOWNSTAIRS",14,0.00341910027488552
"135","WALKING_DOWNSTAIRS",15,-0.114055542511411
"136","WALKING_DOWNSTAIRS",16,-0.21577265313244
"137","WALKING_DOWNSTAIRS",17,-0.233445826587078
"138","WALKING_DOWNSTAIRS",18,-0.377526737575512
"139","WALKING_DOWNSTAIRS",19,0.154941520892261
"140","WALKING_DOWNSTAIRS",20,-0.0458055951405788
"141","WALKING_DOWNSTAIRS",21,-0.139645365609202
"142","WALKING_DOWNSTAIRS",22,-0.147381918801591
"143","WALKING_DOWNSTAIRS",23,-0.00547247287462682
"144","WALKING_DOWNSTAIRS",24,-0.241425533951455
"145","WALKING_DOWNSTAIRS",25,-0.345951992614543
"146","WALKING_DOWNSTAIRS",26,-0.175493103647397
"147","WALKING_DOWNSTAIRS",27,-0.180615867943192
"148","WALKING_DOWNSTAIRS",28,-0.139396563077246
"149","WALKING_DOWNSTAIRS",29,-0.178812689061223
"150","WALKING_DOWNSTAIRS",30,-0.217523391374438
"151","WALKING_UPSTAIRS",1,-0.315336808393305
"152","WALKING_UPSTAIRS",2,-0.27094863788048
"153","WALKING_UPSTAIRS",3,-0.358357567758965
"154","WALKING_UPSTAIRS",4,-0.341355950186464
"155","WALKING_UPSTAIRS",5,-0.244346694233246
"156","WALKING_UPSTAIRS",6,-0.189984813956898
"157","WALKING_UPSTAIRS",7,-0.362851021783283
"158","WALKING_UPSTAIRS",8,-0.146879782054871
"159","WALKING_UPSTAIRS",9,-0.352322249173958
"160","WALKING_UPSTAIRS",10,-0.214657479004489
"161","WALKING_UPSTAIRS",11,-0.370962843516591
"162","WALKING_UPSTAIRS",12,-0.354006222470134
"163","WALKING_UPSTAIRS",13,-0.330641118753785
"164","WALKING_UPSTAIRS",14,-0.111119139268373
"165","WALKING_UPSTAIRS",15,-0.294341669544798
"166","WALKING_UPSTAIRS",16,-0.382992324573922
"167","WALKING_UPSTAIRS",17,-0.302507349895375
"168","WALKING_UPSTAIRS",18,-0.42646923228292
"169","WALKING_UPSTAIRS",19,-0.196891295749223
"170","WALKING_UPSTAIRS",20,-0.205762872215166
"171","WALKING_UPSTAIRS",21,-0.298692900152311
"172","WALKING_UPSTAIRS",22,-0.191712185339628
"173","WALKING_UPSTAIRS",23,-0.25943590535943
"174","WALKING_UPSTAIRS",24,-0.362618588027219
"175","WALKING_UPSTAIRS",25,-0.435418743421543
"176","WALKING_UPSTAIRS",26,-0.330337988544182
"177","WALKING_UPSTAIRS",27,-0.368009684288904
"178","WALKING_UPSTAIRS",28,-0.323401541369843
"179","WALKING_UPSTAIRS",29,-0.231956730511577
"180","WALKING_UPSTAIRS",30,-0.33891298828135
